meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2021 Wilton Invitational,2021-12-12,Open Men's 102kg,Noah Ottenstein,101.11,112,119,-125,145,153,-161,119,153,272
2021 Wilton Invitational,2021-12-12,Men's Masters (35-39) 102kg,Paul Dixon,96.73,104,108,112,130,135,-138,112,135,247
2021 Wilton Invitational,2021-12-12,Open Women's 81kg,Courtney Sims,80.38,83,86,-90,94,99,102,86,102,188
2021 Wilton Invitational,2021-12-12,Open Men's 89kg,Aaron Suh,85.7,65,68,72,85,90,95,72,95,167
2021 Wilton Invitational,2021-12-12,Open Men's 73kg,MATT BAXENDALE,70.3,53,56,59,68,73,75,59,75,134
2021 Wilton Invitational,2021-12-12,Open Women's 87kg,Jennifer Price,86.67,52,56,-60,64,68,73,56,73,129
2021 Wilton Invitational,2021-12-12,Women's Masters (40-44) 81kg,Melissa Jorczak,77.86,52,56,-60,62,66,70,56,70,126
2021 Wilton Invitational,2021-12-12,Men's Masters (60-64) 96kg,Christopher Price,91.57,53,56,-60,70,-75,-75,56,70,126
2021 Wilton Invitational,2021-12-12,Women's Masters (40-44) 76kg,Jennifer Ellison,71.1,39,40,42,32,-55,55,42,55,97
2021 Wilton Invitational,2021-12-12,Open Women's +87kg,Courtney Steininger,96.14,27,30,33,35,37,-40,33,37,70
