meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Testify Barbell Bash,2016-09-24,Open Men's 105 kg,Derek Jardon,102.4,102,107,112,135,-140,-141,112,135,247
Testify Barbell Bash,2016-09-24,Open Men's 94 kg,Cole Blanc,93.9,85,92,-97,-118,118,-128,92,118,210
Testify Barbell Bash,2016-09-24,Open Men's 94 kg,Theodore Swanson,93.3,82,86,-90,-118,120,-127,86,120,206
Testify Barbell Bash,2016-09-24,Open Men's 85 kg,Tyler Holm,80.4,80,84,89,100,105,-108,89,105,194
Testify Barbell Bash,2016-09-24,Open Men's 85 kg,Jonathan Hansen,83.9,81,85,-88,105,-112,-112,85,105,190
Testify Barbell Bash,2016-09-24,Open Men's 94 kg,Michael Sharp,92.4,59,61,65,82,84,87,65,87,152
Testify Barbell Bash,2016-09-24,Open Women's 75 kg,Rebecca Meggers,73.4,60,-64,-64,70,75,78,60,78,138
Testify Barbell Bash,2016-09-24,Women's 16-17 Age Group 69 kg,Abigail Sharp,66.1,50,-54,-54,66,-68,68,50,68,118
Testify Barbell Bash,2016-09-24,Open Men's 77 kg,Seth Blakestad,70.4,50,-53,55,53,56,58,55,58,113
Testify Barbell Bash,2016-09-24,Women's Masters (40-44) 69 kg,Angela Linkhart,65.5,11,-13,13,18,20,21,13,21,34
