meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Industrial Strength Club Meet,2021-12-11,Open Men's 73kg,Adam Pearce,68.3,63,-65,66,84,85,-88,66,85,151
Industrial Strength Club Meet,2021-12-11,Open Men's 73kg,Adam Pearce,68.3,63,0,66,84,85,8,66,85,151
Industrial Strength Club Meet,2021-12-11,Open Women's 81kg,Samantha Sheffels,79.6,48,50,53,68,70,-73,53,70,123
Industrial Strength Club Meet,2021-12-11,Open Women's 81kg,Samantha Sheffels,79.6,48,50,53,68,70,0,53,70,123
Industrial Strength Club Meet,2021-12-11,Women's Masters (35-39) 71kg,Emily Heiberg,69.3,53,55,-57,63,-65,67,55,67,122
Industrial Strength Club Meet,2021-12-11,Women's Masters (35-39) 71kg,Emily Heiberg,69.3,53,55,0,63,0,67,55,67,122
Industrial Strength Club Meet,2021-12-11,Open Women's 76kg,Olivia DuBoise,71.1,50,-52,53,61,64,-66,53,64,117
Industrial Strength Club Meet,2021-12-11,Open Women's 76kg,Olivia DuBoise,71.1,50,0,53,61,64,0,53,64,117
Industrial Strength Club Meet,2021-12-11,Women's Masters (35-39) 55kg,Elissa Sosland,53.4,30,31,32,41,43,43,32,43,75
Industrial Strength Club Meet,2021-12-11,Women's Masters (35-39) 55kg,Elissa Sosland,53.4,30,31,32,41,-43,-43,32,41,73
