event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
JME Qld Club Challenge Round 4 – Milton,2014-11-08,female,Laetitia Grice,65.90,52,-55,-55,65,67,70,52,70,122
JME Qld Club Challenge Round 4 – Milton,2014-11-08,female,Kylie Smith,69.00,45,-48,-48,57,-59,-59,45,57,102
JME Qld Club Challenge Round 4 – Milton,2014-11-08,female,Isabel Montes,104.60,25,28,32,32,35,37,32,37,69
JME Qld Club Challenge Round 4 – Milton,2014-11-08,female,Patrizia Cocchis,58.00,30,34,-36,46,49,51,34,51,85
JME Qld Club Challenge Round 4 – Milton,2014-11-08,female,Wendy Pakchung,58.40,24,-25,25,34,36,-37,25,36,61
JME Qld Club Challenge Round 4 – Milton,2014-11-08,female,Marie Brett,62.50,38,-40,-40,50,51,52,38,52,90
JME Qld Club Challenge Round 4 – Milton,2014-11-08,female,Constance Beckingham,72.65,31,-33,-33,38,41,-44,31,41,72
JME Qld Club Challenge Round 4 – Milton,2014-11-08,female,Stephanie Bradfield,77.20,-24,24,-25,30,32,-34,25,32,57
JME Qld Club Challenge Round 4 – Milton,2014-11-08,male,Mitchell Eichmann,70.60,75,79,-83,95,100,-105,79,100,179
JME Qld Club Challenge Round 4 – Milton,2014-11-08,male,Dylan Palmer Givan,82.50,80,-82,85,90,95,-100,85,95,180
JME Qld Club Challenge Round 4 – Milton,2014-11-08,male,Sebastian Valdivia,81.45,72,75,-80,78,82,87,75,87,162
JME Qld Club Challenge Round 4 – Milton,2014-11-08,male,Niall Blair,85.50,-90,90,-93,115,120,-125,90,120,210
JME Qld Club Challenge Round 4 – Milton,2014-11-08,male,Paul Grieco,106.50,63,65,70,75,80,85,70,85,155
JME Qld Club Challenge Round 4 – Milton,2014-11-08,male,Tim Redhead,100.40,80,-85,-85,-95,-105,-105,80,0,0
