event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U10 Men ,WIEDER Lenny,44.4,19.0,21.0,-23.0,22.0,24.0,26.0,21.0,26.0,47.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U10 Men ,SCHIARI Simon,51.6,16.0,18.0,20.0,21.0,23.0,25.0,20.0,25.0,45.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U13 Men 45,BORLOZ Aymé,42.8,20.0,21.0,22.0,23.0,25.0,27.0,22.0,27.0,49.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U13 Men 45,COCKERILL Arthur,42.8,17.0,18.0,19.0,18.0,20.0,22.0,19.0,22.0,41.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U17 Women 49,DEL NEGRO Nora,48.9,20.0,22.0,23.0,23.0,26.0,29.0,23.0,29.0,52.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U17 Women 59,PERARD--ICARRE Camille,57.1,56.0,-59.0,60.0,68.0,72.0,75.0,60.0,75.0,135.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Women 59,GARNIER Camille,57.8,47.0,52.0,-55.0,57.0,62.0,-65.0,52.0,62.0,114.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Women 76,BERNAY Celly,74.1,43.0,47.0,50.0,61.0,65.0,68.0,50.0,68.0,118.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Women 87,DRUT Lea,84.2,62.0,-67.0,67.0,73.0,77.0,-80.0,67.0,77.0,144.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U17 Women 49,DEL NEGRO Nora,48.9,20.0,22.0,23.0,23.0,26.0,29.0,23.0,29.0,52.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U17 Women 59,PERARD--ICARRE Camille,57.1,56.0,-59.0,60.0,68.0,72.0,75.0,60.0,75.0,135.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Women 59,GARNIER Camille,57.8,47.0,52.0,-55.0,57.0,62.0,-65.0,52.0,62.0,114.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Women 76,BERNAY Celly,74.1,43.0,47.0,50.0,61.0,65.0,68.0,50.0,68.0,118.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Women 87,DRUT Lea,84.2,62.0,-67.0,67.0,73.0,77.0,-80.0,67.0,77.0,144.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U15 Men 67,CHARRIERE Baptiste,63.1,43.0,47.0,50.0,-53.0,53.0,57.0,50.0,57.0,107.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U17 Men 67,PRADA-PRADA Esteban,66.3,45.0,50.0,-54.0,57.0,61.0,-65.0,50.0,61.0,111.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U17 Men 73,COLIN Baptiste,70.2,52.0,55.0,58.0,62.0,65.0,69.0,58.0,69.0,127.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U20 Men 81,REGAZZONI Téo,79.4,65.0,68.0,-70.0,85.0,89.0,92.0,68.0,92.0,160.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U20 Men 89,SCHIARI Florian,85.7,90.0,95.0,-100.0,107.0,114.0,-119.0,95.0,114.0,209.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Men 81,SEIGNEMARTIN Loic,79.0,88.0,93.0,96.0,107.0,113.0,117.0,96.0,117.0,213.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Men 89,CONVERS Benjamin,81.6,73.0,78.0,-82.0,93.0,97.0,-101.0,78.0,97.0,175.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Men 89,MERCIER Jimmy,84.0,85.0,92.0,-96.0,-0.0,-0.0,-0.0,92.0,0.0,0.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U15 Men 67,CHARRIERE Baptiste,63.1,43.0,47.0,50.0,-53.0,53.0,57.0,50.0,57.0,107.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U17 Men 67,PRADA-PRADA Esteban,66.3,45.0,50.0,-54.0,57.0,61.0,-65.0,50.0,61.0,111.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U17 Men 73,COLIN Baptiste,70.2,52.0,55.0,58.0,62.0,65.0,69.0,58.0,69.0,127.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U20 Men 81,REGAZZONI Téo,79.4,65.0,68.0,-70.0,85.0,89.0,92.0,68.0,92.0,160.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,U20 Men 89,SCHIARI Florian,85.7,90.0,95.0,-100.0,107.0,114.0,-119.0,95.0,114.0,209.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Men 81,SEIGNEMARTIN Loic,79.0,88.0,93.0,96.0,107.0,113.0,117.0,96.0,117.0,213.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Men 89,CONVERS Benjamin,81.6,73.0,78.0,-82.0,93.0,97.0,-101.0,78.0,97.0,175.0
AURA - Chpt Départemental - Oyonnax - AIN 01,2023-05-20,SEN Men 89,MERCIER Jimmy,84.0,85.0,92.0,-96.0,-0.0,-0.0,-0.0,92.0,0.0,0.0
