event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
AK Bjørgvin Seriestevne,2024-04-10,Women's Senior 71Kg,Iselin Hatlenes,71,65,68,-70,80,-84,85,68,85,153
AK Bjørgvin Seriestevne,2024-04-10,Men's Senior 89Kg,Adrian Henneli,89,105,110,114,130,135,-140,114,135,249
AK Bjørgvin Seriestevne,2024-04-10,Women's Masters (40-44) 87Kg,Ingeborg Endresen,87,65,-68,-70,78,80,-84,65,80,145
AK Bjørgvin Seriestevne,2024-04-10,Women's Youth Under 15 40Kg,Ingrid Skag Skjefstad,40,28,30,31,34,37,39,31,39,70
AK Bjørgvin Seriestevne,2024-04-10,Men's Senior 109Kg,Vetle Andersen,109,105,110,120,120,125,130,120,130,250
AK Bjørgvin Seriestevne,2024-04-10,Women's Junior Under 20 71Kg,Mathilde Loy Enger,71,56,59,-63,70,73,76,59,76,135
AK Bjørgvin Seriestevne,2024-04-10,Men's Senior 109Kg,Sindre K. Nesheim,109,120,-125,-130,155,162,-167,120,162,282
AK Bjørgvin Seriestevne,2024-04-10,Women's Senior 71Kg,Ida Johannessen,71,47,50,53,67,-70,71,53,71,124
AK Bjørgvin Seriestevne,2024-04-10,Women's Youth Under 15 59Kg,Sandra Viktoria N. Amundsen,59,58,61,64,69,72,75,64,75,139
AK Bjørgvin Seriestevne,2024-04-10,Men's Youth Under 17 73Kg,Lukas Haukefær,73,52,55,-57,64,68,-70,55,68,123
AK Bjørgvin Seriestevne,2024-04-10,Women's Senior 81Kg,Lilly Småland,81,62,65,-67,83,86,89,65,89,154
AK Bjørgvin Seriestevne,2024-04-10,Women's Masters (40-44) 71Kg,Marianne Erdal Holm,71,-55,-58,58,71,75,-80,58,75,133
AK Bjørgvin Seriestevne,2024-04-10,Women's Youth Under 15 40Kg,Astrid Hermansen,40,14,16,17,17,19,21,17,21,38
