event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,U15 Women 49,LOIGEROT Elisa,47.95,24.0,28.0,31.0,35.0,39.0,42.0,31.0,42.0,73.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,U15 Women 55,PY Maelys,51.5,28.0,31.0,34.0,38.0,41.0,-45.0,34.0,41.0,75.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,U15 Women 64,AUBRY Elyne,61.85,35.0,38.0,-41.0,45.0,48.0,-51.0,38.0,48.0,86.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,U15 Women 64,BOFFY Lauryne,59.8,25.0,-29.0,29.0,34.0,-38.0,-38.0,29.0,34.0,63.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,U17 Women 55,COLLIGNON Aurélie,53.1,36.0,-39.0,42.0,50.0,-53.0,-55.0,42.0,50.0,92.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,U17 Women 71,PIETROSANTE Channel,68.5,-45.0,-45.0,-45.0,-55.0,-55.0,-55.0,-45.0,-55.0,0.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,U20 Women 64,PIETROSANTE Cassandra,59.4,50.0,55.0,-60.0,65.0,70.0,-75.0,55.0,70.0,125.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,SEN Women 55,GIOT Justine,53.8,41.0,44.0,-47.0,54.0,56.0,-59.0,44.0,56.0,100.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,SEN Women 59,ROBERT Juliette,57.4,-45.0,45.0,-48.0,52.0,56.0,60.0,45.0,60.0,105.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,SEN Women 64,FAIVRE Emy,61.7,55.0,58.0,-61.0,62.0,-67.0,-71.0,58.0,62.0,120.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,SEN Women 64,TURRI Céline,60.4,40.0,43.0,-46.0,52.0,-56.0,-56.0,43.0,52.0,95.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,SEN Women 71,RIPPLINGER Tya,68.7,50.0,-53.0,-54.0,60.0,-63.0,-63.0,50.0,60.0,110.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,SEN Women 76,ROZZI Olivia,72.15,45.0,50.0,58.0,51.0,57.0,65.0,58.0,65.0,123.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,SEN Women 76,BERTRAND GANTOIS Alex,74.8,33.0,-36.0,37.0,44.0,48.0,-52.0,37.0,48.0,85.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,SEN Women 81,GIRARD Clara,80.5,58.0,62.0,66.0,77.0,82.0,-89.0,66.0,82.0,148.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,SEN Women 87,MIZSER Bertille,81.2,72.0,75.0,78.0,-85.0,-85.0,85.0,78.0,85.0,163.0
BFC - autre - Luxeuil-les-bains - Mémorial G. LOISEAU,2023-07-08,SEN Women 87,PETIT Charlotte,81.3,50.0,54.0,58.0,63.0,71.0,75.0,58.0,75.0,133.0
