event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Caitlin Steel,54.20,17,19,20,25,28,30,20,30,50
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Bianca Sheppard,62.10,61,65,-68,62,66,-70,65,66,131
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Danni Humphries,62.00,48,-50,-50,66,70,72,48,72,120
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Tessa Milton,65.60,58,-62,-62,76,80,-85,58,80,138
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Janine Pye,65.40,50,52,-55,57,60,63,52,63,115
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Tanya Eames,63.40,45,49,-51,62,-65,65,49,65,114
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Shannon Salisbury,64.40,23,26,28,35,38,-40,28,38,66
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Kylie Salisbury,69.50,27,30,-32,35,38,40,30,40,70
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Chloe Kerwick,86.10,56,-60,63,76,-80,80,63,80,143
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Susan Schirmer,95.10,53,-58,58,65,-70,70,58,70,128
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Siobhan Hohn,78.50,-27,27,-30,37,40,42,27,42,69
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Lisa Souter,51.10,-35,35,37,45,47,50,37,50,87
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Sonia Stenhouse,52.90,30,33,35,40,43,45,35,45,80
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,female,Bronwyn Hitchener,75.00,55,58,-60,69,73,76,58,76,134
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,male,Jed Bignell,52.70,27,-30,30,32,37,39,30,39,69
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,male,Martyn Steel,50.70,15,-17,17,18,21,23,17,23,40
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,male,Benjamin Shaw,91.00,-126,126,-131,158,-165,-165,126,158,284
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,male,Brent Vaughan,89.20,75,80,85,100,105,110,85,110,195
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,male,Joshua Stenhouse,99.20,52,57,62,62,70,76,62,76,138
Qld Club Challenge Round 1 – Toowoomba,2016-02-06,male,Samuel Little,112.10,65,70,75,85,95,100,75,100,175
