event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Pro Strength & SA Weightlifting Club Open,2015-04-11,female,Lisa Tran,50.98,28,34,41,50,55,-62,41,55,96,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,female,Jessica Edge,57.56,45,50,55,65,69,-74,55,69,124,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,female,Maggie Augustyniak,61.36,35,40,-45,52,-58,-58,40,52,92,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,female,Ebony Gorincu,68.40,68,71,-73,88,92,94,71,94,165,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,female,Stephanie Combs,69.30,50,55,60,62,67,-70,60,67,127,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,female,Kacie Reynolds,74.72,25,30,37,35,40,47,37,47,84,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,female,Anastasia Pascoe,81.06,50,60,68,-83,83,86,68,86,154,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,female,Autumn Lee,90.82,48,-51,51,65,70,-72,51,70,121,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Frank Elliott,74.46,120,125,-130,145,-150,-155,125,145,270,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Max Williams,76.60,-70,-75,75,92,-95,95,75,95,170,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Ju Sung Han,73.06,-45,-45,-45,70,75,80,0,80,0,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Kieran Eldridge,84.68,100,104,-106,132,-138,-138,104,132,236,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Mitchell Gustafsson,83.38,90,95,102,115,-120,,102,115,217,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Jack Strudwicke,79.86,-85,-85,85,110,-115,-115,85,110,195,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Thomas Smith,92.16,-120,120,125,150,155,157,125,157,282,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Luke Gardner,89.56,-118,118,-122,145,150,-155,118,150,268,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Maik Boger,88.72,55,60,-65,75,80,-85,60,80,140,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Richard Baker,104.78,105,110,-115,130,-135,-135,110,130,240,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Matthew Sulkowski,108.24,-75,75,80,90,95,100,80,100,180,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Anthony Formichella,113.48,55,60,65,65,70,75,65,75,140,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Ian Macdonald,67.90,-70,70,-76,85,92,-97,70,92,162,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Trent Reinboth,99.98,87,93,97,-116,116,121,97,121,218,AUS
Pro Strength & SA Weightlifting Club Open,2015-04-11,male,Luke Rowett,100.00,65,-70,-74,95,102,-110,65,102,167,AUS
