event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
QWA Grand Final,2013-11-16,female,Hayley Ward,54.50,43,46,49,55,58,-61,49,58,107,AUS
QWA Grand Final,2013-11-16,female,Nadine Newbery,61.15,50,53,-56,63,67,-70,53,67,120,AUS
QWA Grand Final,2013-11-16,female,Keya Woodland,68.85,57,59,-62,80,85,-90,59,85,144,AUS
QWA Grand Final,2013-11-16,female,Stacy Koh,74.20,62,66,-68,84,89,90,66,90,156,AUS
QWA Grand Final,2013-11-16,female,Bonnie Sleeman,83.85,75,-79,82,95,-100,-101,82,95,177,AUS
QWA Grand Final,2013-11-16,female,Coral Quinell,57.55,46,48,-49,56,58,59,48,59,107,AUS
QWA Grand Final,2013-11-16,female,Lesley Moyle,61.90,27,28,29,40,42,-44,29,42,71,AUS
QWA Grand Final,2013-11-16,female,Jenny Butler,68.00,64,66,-68,81,-83,83,66,83,149,AUS
QWA Grand Final,2013-11-16,female,Sue Cox,67.35,41,43,-45,51,53,-55,43,53,96,AUS
QWA Grand Final,2013-11-16,female,Leandra Miscamble,68.95,30,32,34,47,49,50,34,50,84,AUS
QWA Grand Final,2013-11-16,female,Bronwyn Hitchener,74.60,54,57,60,65,68,-70,60,68,128,AUS
QWA Grand Final,2013-11-16,male,James Norman,67.70,-84,84,-88,110,118,123,84,123,207,AUS
QWA Grand Final,2013-11-16,male,Michael Ward,68.40,85,88,90,107,110,111,90,111,201,AUS
QWA Grand Final,2013-11-16,male,Joshua Mak,66.40,62,-66,67,74,79,83,67,83,150,AUS
QWA Grand Final,2013-11-16,male,James Pakchung,76.65,95,100,-105,121,125,126,100,126,226,AUS
QWA Grand Final,2013-11-16,male,Benjamin Shaw,84.85,112,116,120,145,150,154,120,154,274,AUS
QWA Grand Final,2013-11-16,male,Jakob Daniels,83.40,-103,107,111,130,137,-140,111,137,248,AUS
QWA Grand Final,2013-11-16,male,Jake Ratcliffe,82.65,105,108,112,123,-128,-135,112,123,235,AUS
QWA Grand Final,2013-11-16,male,Dale Finlayson,82.85,98,102,105,118,123,125,105,125,230,AUS
QWA Grand Final,2013-11-16,male,Luke Gardner,93.90,120,123,126,150,160,166,126,166,292,AUS
QWA Grand Final,2013-11-16,male,Douglas Higginson,93.25,97,102,107,122,127,131,107,131,238,AUS
QWA Grand Final,2013-11-16,male,Michael Teede,76.95,75,-80,80,104,108,-117,80,108,188,AUS
QWA Grand Final,2013-11-16,male,Robert Davison,76.30,-73,73,75,100,105,-109,75,105,180,AUS
QWA Grand Final,2013-11-16,male,Trevor Walz,76.10,64,68,69,86,90,91,69,91,160,AUS
QWA Grand Final,2013-11-16,male,Raymond Louden,76.15,48,51,-53,62,66,-68,51,66,117,AUS
QWA Grand Final,2013-11-16,male,Patrick Galligan,84.50,70,74,78,105,110,116,78,116,194,AUS
QWA Grand Final,2013-11-16,male,Barry Harden,90.85,75,80,-85,97,102,-105,80,102,182,AUS
