event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 96kg,Kevin SCHUERCH,91.25,80,85,-90,110,115,120,85,120,205
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 96kg,Julien NYDEGGER,92.05,80,-85,-90,100,105,-110,80,105,185
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 73kg,Saurabh Tomar,70.35,70,-75,-75,82,85,88,70,88,158
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 102kg,Clovis BESNARD,96.25,-81,-85,86,95,100,-104,86,100,186
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 81kg,Christophe JACOT,78.55,58,63,-68,75,80,85,63,85,148
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 89kg,Suter Gil,88.85,55,62,70,-75,85,-90,70,85,155
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 96kg,Nicolas DEAS,91.85,55,60,64,85,90,-95,64,90,154
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 81kg,Moser Nelson,74.15,44,50,53,68,76,82,53,82,135
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 96kg,Fabio PARDO,92.65,60,-65,-69,80,-85,85,60,85,145
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 89kg,Eddy VERLOES,84.55,55,58,-60,75,80,-85,58,80,138
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 67kg,Aaron Giewo ngangop,65.35,43,47,52,52,56,60,52,60,112
2025/26 - R - Z1 - 1 - L2M,2025-11-08,Men's Senior 61kg,Raffael Calderara,23.35,7,8,-9,8,9,-10,8,9,17
