event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Chris Chugg + PC1,2020-02-08,female - F49,Stephanie Pickrell,48.30,48,52,55,61,66,70,55,70,125
Chris Chugg + PC1,2020-02-08,female - F55,Hannah Pickrell,52.70,43,47,50,55,58,61,50,61,111
Chris Chugg + PC1,2020-02-08,female - F55,Giselle Fernandez,52.70,36,39,-41,48,52,54,39,54,93
Chris Chugg + PC1,2020-02-08,female - F59,Darcy Elliston,58.95,55,58,-61,71,74,-77,58,74,132
Chris Chugg + PC1,2020-02-08,female - F59,Melissa Hanson,56.75,46,-48,48,59,62,-64,48,62,110
Chris Chugg + PC1,2020-02-08,female - F64,Tracy-Lee Lucas,62.20,36,38,40,52,54,56,40,56,96
Chris Chugg + PC1,2020-02-08,female - F64,Jade Gluskie,62.45,37,40,43,48,-51,51,43,51,94
Chris Chugg + PC1,2020-02-08,female - F64,Nat Vanetti,60.65,25,27,-29,-35,-35,35,27,35,62
Chris Chugg + PC1,2020-02-08,female - F71,Camilla Fogagnolo,70.65,75,80,83,100,106,110,83,110,193
Chris Chugg + PC1,2020-02-08,female - F71,Jennifer Carter,66.40,46,49,52,65,70,73,52,73,125
Chris Chugg + PC1,2020-02-08,female - F71,Mya Venn,70.15,42,46,49,56,60,63,49,63,112
Chris Chugg + PC1,2020-02-08,female - F76,Danielle Pickrell,75.00,45,50,55,60,65,70,55,70,125
Chris Chugg + PC1,2020-02-08,female - F76,Beth Isaac,74.15,33,-35,-35,43,45,47,33,47,80
Chris Chugg + PC1,2020-02-08,female - F76,Elizabeth Knox,71.65,26,27,28,32,34,37,28,37,65
Chris Chugg + PC1,2020-02-08,female - F81,Jacinta Keating,79.20,44,47,-51,59,62,-65,47,62,109
Chris Chugg + PC1,2020-02-08,female - F87,Jewel Banks,83.05,41,45,48,52,56,-59,48,56,104
Chris Chugg + PC1,2020-02-08,female - F87,Emily Drysdale,82.90,38,40,42,57,59,-61,42,59,101
Chris Chugg + PC1,2020-02-08,female - F87,Amanda Woods,86.75,33,-36,-36,43,46,49,33,49,82
Chris Chugg + PC1,2020-02-08,female - F87+,Kaitlyn Fassina,89.10,97,100,102,116,120,-122,102,120,222
Chris Chugg + PC1,2020-02-08,female - F87+,Jacqueline Saward,100.10,46,49,52,66,70,74,52,74,126
Chris Chugg + PC1,2020-02-08,female - F87+,Danica Holloway,96.35,44,47,50,61,65,70,50,70,120
Chris Chugg + PC1,2020-02-08,female - F87+,Emma Fyfe,89.55,34,36,38,42,44,46,38,46,84
Chris Chugg + PC1,2020-02-08,female - F87+,Fiona Creed,98.35,28,30,-32,38,41,-43,30,41,71
Chris Chugg + PC1,2020-02-08,male - M55,Hunter Howe,51.50,15,17,19,19,21,23,19,23,42
Chris Chugg + PC1,2020-02-08,male - M81,Benjamin Spinks,79.50,90,95,98,115,120,125,98,125,223
Chris Chugg + PC1,2020-02-08,male - M81,Phil Diamantis,75.70,57,59,61,80,83,86,61,86,147
Chris Chugg + PC1,2020-02-08,male - M81,Tony Hagar,77.15,34,37,-39,46,49,51,37,51,88
Chris Chugg + PC1,2020-02-08,male - M89,Sean Fitzgerald,84.70,110,116,120,140,150,158,120,158,278
Chris Chugg + PC1,2020-02-08,male - M89,Ben Castle,88.65,104,108,112,134,138,142,112,142,254
Chris Chugg + PC1,2020-02-08,male - M89,Tim Sumpton,85.25,75,-79,79,95,-100,-100,79,95,174
Chris Chugg + PC1,2020-02-08,male - M89,Kevin Lucas,85.40,66,68,70,78,81,-84,70,81,151
Chris Chugg + PC1,2020-02-08,male - M96,Thomas Elder,94.05,77,81,84,97,101,-104,84,101,185
Chris Chugg + PC1,2020-02-08,male - M102,Jordan Cripps,99.00,91,96,100,118,122,126,100,126,226
Chris Chugg + PC1,2020-02-08,male - M102,Ky Wittich,101.95,74,78,82,97,100,103,82,103,185
Chris Chugg + PC1,2020-02-08,male - M109+,Ryan Dudman,109.40,93,98,103,125,131,-136,103,131,234
