event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Uesaka QLD Club Challenge and League Round 3,2018-10-13,female - F55,Kim Walker,52.70,-40,-40,-40,0,0,0,0,0,0
Uesaka QLD Club Challenge and League Round 3,2018-10-13,female - F59,Mia Delos,55.60,-50,-50,50,60,63,66,50,66,116
Uesaka QLD Club Challenge and League Round 3,2018-10-13,female - F59,Tracey Scarsbrook,58.80,35,37,39,50,53,56,39,56,95
Uesaka QLD Club Challenge and League Round 3,2018-10-13,female - F81,Claire Binch,79.60,55,58,61,75,80,85,61,85,146
Uesaka QLD Club Challenge and League Round 3,2018-10-13,female - F81,Sharne Booth-Ford,78.00,52,54,-58,69,72,75,54,75,129
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male - M55,Harper Manz,54.20,50,54,57,67,70,73,57,73,130
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male - M56,Asher Manz,33.30,30,33,-35,36,39,-41,33,39,72
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male - M73,Matthew Manz,70.30,70,73,75,101,105,108,75,108,183
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male - M73,Michael Nides,70.30,-55,55,60,70,-75,75,60,75,135
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male - M89,Anthony Mirandilla,87.50,80,85,91,100,106,111,91,111,202
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male - M89,Michael Brett,84.20,65,70,74,90,-95,95,74,95,169
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male - M96,Nicholas Morland,92.00,100,-105,105,0,0,0,105,0,0
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male - M109,Scott Mark,103.10,70,75,78,90,94,98,78,98,176
