event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,female - F53,Katie Ward,49.15,15,18,21,25,29,31,21,31,52
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,female - F63,Jacinta Carroll,62.25,50,55,60,60,65,72,60,72,132
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,female - F75,Lenor Whiley,71.35,50,53,56,62,65,-69,56,65,121
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,female - F75,Katherine Redhead,70.40,48,-50,50,-60,63,-66,50,63,113
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,female - F75+,Kate Thurtell,98.10,25,30,35,45,47,50,35,50,85
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,female - F59,Maryann Hearn,57.50,35,37,-39,45,48,51,37,51,88
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,female - F64,Fiona Redhead,62.05,-46,46,48,60,62,65,48,65,113
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,female - F71,Natarsha Baker,64.80,40,45,-48,63,-68,68,45,68,113
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,male - M77,Tom Li,76.50,70,-75,-75,85,-88,88,70,88,158
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,male - M77,Angus Ward,74.55,27,30,33,32,37,41,33,41,74
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,male - M94,James Harvey Ross,90.90,90,-96,-96,-105,-107,107,90,107,197
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,male - M89,Kris Crichton,88.95,70,75,80,100,107,112,80,112,192
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,male - M102,Tim Redhead,101.75,-88,90,-95,107,112,-116,90,112,202
Qld Club Challenge Round 4 – Brisbane Barbell,2016-10-15,male - M109,John Brown,103.60,-90,-95,95,-115,115,120,95,120,215
