event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F48,Tegan Napper,47.84,58,62,65,72,76,79,65,79,144
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F48,Robin Parr,45.36,-37,37,40,53,-58,58,40,58,98
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F53,Socheata Be,52.61,68,-71,-71,85,-90,-90,68,85,153
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F58,Seen Lee,57.94,-80,80,84,100,106,-109,84,106,190
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F63,Rachel Goodman,62.86,-71,-71,71,90,94,-100,71,94,165
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F63,Kiana Elliott,61.22,60,-65,65,-77,77,-82,65,77,142
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F69,Kylie Thompson,68.52,-84,84,-88,96,-100,-100,84,96,180
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F75+,Deborah Acason,87.48,98,102,105,120,125,127,105,127,232
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F75+,Kaitlyn Fassina,94.44,95,-100,-100,115,120,-123,95,120,215
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F75+,Bonnie Sleeman,84.98,-75,75,80,93,-98,-98,80,93,173
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,female - F75+,Courtney Page,101.23,62,66,69,79,-84,84,69,84,153
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M56,James Delaney,55.32,-75,75,-80,93,98,-100,75,98,173
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M62,Vannara Be,61.81,-110,110,-115,-137,137,-143,110,137,247
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M62,Joshua Wu,60.68,80,85,-90,107,112,117,85,117,202
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M62,Hamish Adam,58.49,72,77,-80,85,-90,90,77,90,167
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M69,James Norman,68.09,80,84,88,110,118,124,88,124,212
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M69,Codi Allie,66.67,-78,78,83,94,99,-103,83,99,182
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M77,Francois Etoundi,76.60,-138,138,-141,168,174,-179,138,174,312
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M77,Jonathan Pakchung,76.09,-105,105,110,127,-135,-135,110,127,237
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M85,Malek Chamoun,84.13,130,-135,135,170,175,-177,135,175,310
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M85,Troy Hewkins,83.71,130,-135,-135,155,-160,160,130,160,290
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M85,Liam Larkins,83.93,115,120,122,-143,143,150,122,150,272
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M85,Jakob Daniels,82.97,100,105,-112,-130,130,137,105,137,242
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M85,Shane Wagner,84.01,95,100,104,120,128,131,104,131,235
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M94,Simplice Ribouem,93.10,145,150,-153,180,-187,187,150,187,337
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M105,Robert Galsworthy,104.56,140,145,150,180,-185,-185,150,180,330
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M81,Ben Turner,76.91,117,-120,-120,147,0,0,117,147,264
"Commonwealth Senior, Junior, Youth Champs",2013-11-28,male - M96,Zac Grgurevic,93.65,-135,-135,-135,0,0,0,0,0,0
