meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Team Spartacus Open 2012,2012-06-30,Open Men's 85 kg,Adam Rozmenoski,81.8,0,0,0,153,0,0,0,153,153
Team Spartacus Open 2012,2012-06-30,Open Men's+105 kg,David Kent,105.4,0,0,0,145,0,0,0,145,145
Team Spartacus Open 2012,2012-06-30,Open Men's 85 kg,Ben Wetzel,84.1,0,0,0,143,0,0,0,143,143
Team Spartacus Open 2012,2012-06-30,Open Men's 105 kg,Robert Gerdes,100.2,0,0,0,142,0,0,0,142,142
Team Spartacus Open 2012,2012-06-30,Open Men's 77 kg,Simon Klimesh,76.6,0,0,0,135,0,0,0,135,135
Team Spartacus Open 2012,2012-06-30,Open Men's 85 kg,Adam White,83.8,0,0,0,134,0,0,0,134,134
Team Spartacus Open 2012,2012-06-30,Open Men's 105 kg,Daniel Motoyoshi,99.8,0,0,0,120,0,0,0,120,120
Team Spartacus Open 2012,2012-06-30,Open Men's+105 kg,Gregg Sonnabend,132.4,0,0,0,108,0,0,0,108,108
Team Spartacus Open 2012,2012-06-30,Open Men's 85 kg,Preston Anderson,82.7,0,0,0,105,0,0,0,105,105
Team Spartacus Open 2012,2012-06-30,Open Men's 69 kg,Jacob Sterny,67.9,0,0,0,101,0,0,0,101,101
Team Spartacus Open 2012,2012-06-30,Open Men's 105 kg,Ryan Brill,96.9,0,0,0,100,0,0,0,100,100
Team Spartacus Open 2012,2012-06-30,Open Men's 94 kg,Gregg Hadley,87.6,0,0,0,99,0,0,0,99,99
Team Spartacus Open 2012,2012-06-30,Open Women's 69 kg,Natalie Johnson,63.4,0,0,0,87,0,0,0,87,87
Team Spartacus Open 2012,2012-06-30,Open Women's +75 Kg,Kate Henry,97.7,0,0,0,87,0,0,0,87,87
Team Spartacus Open 2012,2012-06-30,Open Men's 85 kg,Matthew Hirn,82.9,0,0,0,85,0,0,0,85,85
Team Spartacus Open 2012,2012-06-30,Open Women's +75 Kg,Julie Kildahl,78,0,0,0,74,0,0,0,74,74
Team Spartacus Open 2012,2012-06-30,Open Women's 69 kg,Laura Gerdes,69,0,0,0,60,0,0,0,60,60
