meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
PGH Collegiate Qualifier,2013-03-16,Open Men's 85 kg,Jon Dawson,84.1,115,-120,120,145,150,-155,120,150,270
PGH Collegiate Qualifier,2013-03-16,Open Men's 105 kg,Vincent Cantelm,104.84,100,-105,-105,130,136,-140,100,136,236
PGH Collegiate Qualifier,2013-03-16,Open Men's 94 kg,Joel Maher,86.1,85,-90,93,115,121,-126,93,121,214
PGH Collegiate Qualifier,2013-03-16,Open Men's 105 kg,Nick Burks,94.9,80,85,-87,95,100,104,85,104,189
PGH Collegiate Qualifier,2013-03-16,Open Men's 69 kg,Jonathan Drozd,68.21,82,85,-88,102,-105,-105,85,102,187
PGH Collegiate Qualifier,2013-03-16,Open Men's 69 kg,Luke Moran,67.7,75,-80,-80,80,90,-95,75,90,165
PGH Collegiate Qualifier,2013-03-16,Open Women's 69 kg,Carly Jessloski,68.96,50,-53,56,-70,70,-75,56,70,126
PGH Collegiate Qualifier,2013-03-16,Open Women's +75 Kg,Sewar Abunuwar,83.76,50,-53,-55,58,61,65,50,65,115
PGH Collegiate Qualifier,2013-03-16,Open Women's 53 kg,Hannah Hochrein,52.8,32,35,-37,45,49,-51,35,49,84
PGH Collegiate Qualifier,2013-03-16,Women's Masters (45-49) 75 kg,Jill Peterson,74.73,32,34,-37,-43,43,-47,34,43,77
PGH Collegiate Qualifier,2013-03-16,Open Men's 85 kg,Connor Handerhan,84.59,77,-83,-83,-102,-102,-102,77,0,77
