meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Conquer all Chaos,2017-05-19,Open Men's 77 kg,Clay Johnson,76.3,100,-106,-106,125,130,-133,100,130,230
Conquer all Chaos,2017-05-19,Open Men's 105 kg,Michael House,102.8,90,93,96,105,-108,-108,96,105,201
Conquer all Chaos,2017-05-19,Women's 16-17 Age Group 58 kg,Paige Holman,57.8,50,52,-55,63,-66,0,52,63,115
Conquer all Chaos,2017-05-19,Women's 14-15 Age Group 63 kg,Jeni Dasher,58.8,42,45,-48,54,57,60,45,60,105
Conquer all Chaos,2017-05-19,Men's 13 Under Age Group 56 Kg,Thomas Cruz,51.8,36,39,-42,50,-53,53,39,53,92
Conquer all Chaos,2017-05-19,Women's 14-15 Age Group 48 kg,Kaitlyn Wilkerson,47.2,36,38,41,-47,47,-50,41,47,88
Conquer all Chaos,2017-05-19,Women's 14-15 Age Group 69 kg,Jacey Gabbard,63.6,35,38,-40,45,-48,48,38,48,86
Conquer all Chaos,2017-05-19,Men's 13 Under Age Group 44kg,ELI BICKEL,41,32,-35,-35,39,42,-45,32,42,74
Conquer all Chaos,2017-05-19,Women's 13 Under Age Group 39kg,MADISON BICKEL,37.5,25,28,-31,30,33,-36,28,33,61
Conquer all Chaos,2017-05-19,Women's 13 Under Age Group 39kg,Lily Goode,38.2,15,17,19,25,27,29,19,29,48
