meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
AZO Summer Classic,2016-08-20,Open Men's 85 kg,Tyler Dundore,82.2,100,100,104,125,130,130,104,130,234
AZO Summer Classic,2016-08-20,Open Men's 85 kg,James Carr,82.8,98,98,100,127,130,131,100,131,231
AZO Summer Classic,2016-08-20,Open Men's 77 kg,Ricardo Hernandez-Guerrero,74.4,100,100,100,125,125,125,100,125,225
AZO Summer Classic,2016-08-20,Open Men's 62 kg,Rene Navarrete,59.9,85,91,95,110,110,110,95,110,205
AZO Summer Classic,2016-08-20,Open Men's 77 kg,Emmanuel Mulili,74.7,74,74,74,85,90,90,74,90,164
AZO Summer Classic,2016-08-20,Open Men's 85 kg,Matthew Blymyer,85,70,72,72,92,92,92,72,92,164
AZO Summer Classic,2016-08-20,Open Men's 77 kg,Abdullah Alyousif,76.4,68,71,75,85,85,88,75,88,163
AZO Summer Classic,2016-08-20,Women's 16-17 Age Group 58 kg,Elise Vichinsky,57.7,60,60,63,70,72,73,63,73,136
AZO Summer Classic,2016-08-20,Open Women's 63 kg,Hayley Hammerberg,62.4,48,52,55,57,60,64,55,64,119
AZO Summer Classic,2016-08-20,Women's 16-17 Age Group 48 kg,Molly Ratliff,46.9,40,40,45,50,52,53,45,53,98
